enc_name,caption_type,participant,rs
GPT-2,Pixtral,2,0.1811811900824592
GPT-2,Pixtral,3,0.1317904972280518
GPT-2,Pixtral,4,0.1633458247163141
GPT-2,Pixtral,5,0.2325443552165289
GPT-2,Pixtral,6,0.3080362796972755
GPT-2,Pixtral,7,0.2555518881478678
GPT-2,Pixtral,8,0.1714599258726157
GPT-2,Qwen2.5-VL,1,0.0861198383700417
GPT-2,Qwen2.5-VL,2,0.1278034836367831
GPT-2,Qwen2.5-VL,3,0.1048975977050039
GPT-2,Qwen2.5-VL,4,0.158471075545443
GPT-2,Qwen2.5-VL,5,0.2332796773310751
GPT-2,Qwen2.5-VL,6,0.2617097298522966
GPT-2,Qwen2.5-VL,7,0.1990446831441182
GPT-2,Qwen2.5-VL,8,0.1551103918413418
GPT-2,Molmo,1,0.1694204105349413
GPT-2,Molmo,2,0.1670802126482725
GPT-2,Molmo,3,0.1164963523396041
GPT-2,Molmo,4,0.1362745595428912
GPT-2,Molmo,5,0.2415589571871236
GPT-2,Molmo,6,0.2988572623276956
GPT-2,Molmo,7,0.196946115790335
GPT-2,Molmo,8,0.1690613126668637
