enc_name,caption_type,participant,roi,acc
Qwen3 Embedding,Molmo,5,bodies,0.4020292412850924
Qwen3 Embedding,Molmo,5,places,0.473810237838187
Qwen3 Embedding,Molmo,6,all,0.3231969765158834
Qwen3 Embedding,Molmo,6,faces,0.3356175688019358
Qwen3 Embedding,Molmo,6,bodies,0.3443142007978951
Qwen3 Embedding,Molmo,6,places,0.2967480931952119
Qwen3 Embedding,Molmo,7,all,0.3410251994080443
Qwen3 Embedding,Molmo,7,faces,0.2880329874447893
Qwen3 Embedding,Molmo,7,bodies,0.3646439441489622
Qwen3 Embedding,Molmo,7,places,0.3310067313108271
Qwen3 Embedding,Molmo,8,all,0.2488490994764887
Qwen3 Embedding,Molmo,8,faces,0.2396588546858594
Qwen3 Embedding,Molmo,8,bodies,0.2491577121911017
Qwen3 Embedding,Molmo,8,places,0.2622175163747359
GPT-2,MS COCO,1,all,0.3370855625068596
GPT-2,MS COCO,1,faces,0.2905874155119512
GPT-2,MS COCO,1,bodies,0.3762204087084889
GPT-2,MS COCO,1,places,0.309245127465061
GPT-2,MS COCO,2,all,0.339454376727744
GPT-2,MS COCO,2,faces,0.2697338315761401
GPT-2,MS COCO,2,bodies,0.3498208826442934
GPT-2,MS COCO,2,places,0.3550313599789888
GPT-2,MS COCO,3,all,0.2779006200880023
GPT-2,MS COCO,3,faces,0.2732963336181438
GPT-2,MS COCO,3,bodies,0.2934869429073001
GPT-2,MS COCO,3,places,0.2722261346462052
GPT-2,MS COCO,4,all,0.2753731637053188
GPT-2,MS COCO,4,faces,0.2333818367830569
GPT-2,MS COCO,4,bodies,0.2902748426912646
GPT-2,MS COCO,4,places,0.2693083122994978
GPT-2,MS COCO,5,all,0.3519718735729321
GPT-2,MS COCO,5,faces,0.3111913734541749
GPT-2,MS COCO,5,bodies,0.3414961164364601
GPT-2,MS COCO,5,places,0.4004073188809083
GPT-2,MS COCO,6,all,0.2676856183547524
GPT-2,MS COCO,6,faces,0.2748214727153583
GPT-2,MS COCO,6,bodies,0.2860738914219836
GPT-2,MS COCO,6,places,0.247393207441289
GPT-2,MS COCO,7,all,0.2830134454185755
GPT-2,MS COCO,7,faces,0.2397603397804593
GPT-2,MS COCO,7,bodies,0.3075758222374016
GPT-2,MS COCO,7,places,0.2659834004035522
GPT-2,MS COCO,8,all,0.2098783682180039
GPT-2,MS COCO,8,faces,0.2001084053986363
GPT-2,MS COCO,8,bodies,0.2154579938819555
GPT-2,MS COCO,8,places,0.2151795801067851
GPT-2,LLaVA-OV,1,all,0.3873655841014463
GPT-2,LLaVA-OV,1,faces,0.3275537382609306
GPT-2,LLaVA-OV,1,bodies,0.4272667761109747
GPT-2,LLaVA-OV,1,places,0.3638207217408419
GPT-2,LLaVA-OV,2,all,0.3763202772901849
GPT-2,LLaVA-OV,2,faces,0.2946074286818782
GPT-2,LLaVA-OV,2,bodies,0.3873426293327098
GPT-2,LLaVA-OV,2,places,0.3994871113826573
GPT-2,LLaVA-OV,3,all,0.3173448185962538
GPT-2,LLaVA-OV,3,faces,0.3225224107455041
GPT-2,LLaVA-OV,3,bodies,0.3315357561874997
GPT-2,LLaVA-OV,3,places,0.3099045249597106
GPT-2,LLaVA-OV,4,all,0.3134773758191547
GPT-2,LLaVA-OV,4,faces,0.2658565678065816
GPT-2,LLaVA-OV,4,bodies,0.3253861006827908
GPT-2,LLaVA-OV,4,places,0.3157796950471604
GPT-2,LLaVA-OV,5,all,0.3894754301057104
GPT-2,LLaVA-OV,5,faces,0.35730565237099
GPT-2,LLaVA-OV,5,bodies,0.3759020534847344
GPT-2,LLaVA-OV,5,places,0.4423853640972078
GPT-2,LLaVA-OV,6,all,0.3021645163450179
GPT-2,LLaVA-OV,6,faces,0.3258150303963557
GPT-2,LLaVA-OV,6,bodies,0.3271980859221628
GPT-2,LLaVA-OV,6,places,0.2681724543287264
GPT-2,LLaVA-OV,7,all,0.3177587928956189
GPT-2,LLaVA-OV,7,faces,0.2680908709991979
GPT-2,LLaVA-OV,7,bodies,0.343904176115888
GPT-2,LLaVA-OV,7,places,0.3033701643240719
GPT-2,LLaVA-OV,8,all,0.2372993606190903
GPT-2,LLaVA-OV,8,faces,0.2391534822978574
GPT-2,LLaVA-OV,8,bodies,0.2428913260157275
GPT-2,LLaVA-OV,8,places,0.2385529985751332
GPT-2,Phi-4,1,all,0.3795794762448755
GPT-2,Phi-4,1,faces,0.3167368476364725
GPT-2,Phi-4,1,bodies,0.4194460505475255
GPT-2,Phi-4,1,places,0.3563872235976146
GPT-2,Phi-4,2,all,0.37001587424911
GPT-2,Phi-4,2,faces,0.2860507182633802
GPT-2,Phi-4,2,bodies,0.3841505682879771
GPT-2,Phi-4,2,places,0.3894864420495814
GPT-2,Phi-4,3,all,0.3153640541605493
GPT-2,Phi-4,3,faces,0.321874725801874
GPT-2,Phi-4,3,bodies,0.3304931130402206
GPT-2,Phi-4,3,places,0.3064408446469853
GPT-2,Phi-4,4,all,0.3077209907620252
GPT-2,Phi-4,4,faces,0.2565800386721984
GPT-2,Phi-4,4,bodies,0.3249928433120919
GPT-2,Phi-4,4,places,0.3029684952751993
GPT-2,Phi-4,5,all,0.3816393507564227
GPT-2,Phi-4,5,faces,0.3455363593135157
GPT-2,Phi-4,5,bodies,0.3719705627491171
GPT-2,Phi-4,5,places,0.4289759412690461
GPT-2,Phi-4,6,all,0.2887732558018591
GPT-2,Phi-4,6,faces,0.3099548102553588
GPT-2,Phi-4,6,bodies,0.3123860184764184
GPT-2,Phi-4,6,places,0.2578331654139262
GPT-2,Phi-4,7,all,0.3142258584264096
GPT-2,Phi-4,7,faces,0.2647764393359939
GPT-2,Phi-4,7,bodies,0.3401983074643501
GPT-2,Phi-4,7,places,0.3003264327365903
GPT-2,Phi-4,8,all,0.2358218581327235
GPT-2,Phi-4,8,faces,0.2317873585853418
GPT-2,Phi-4,8,bodies,0.2414866644438638
GPT-2,Phi-4,8,places,0.2395166421199546
GPT-2,Pixtral,1,all,0.3859985256432485
GPT-2,Pixtral,1,faces,0.3201782682739684
GPT-2,Pixtral,1,bodies,0.4203617309310438
GPT-2,Pixtral,1,places,0.3708057466550208
GPT-2,Pixtral,2,all,0.3754631092021832
GPT-2,Pixtral,2,faces,0.2879281443648334
GPT-2,Pixtral,2,bodies,0.3872716022685186
GPT-2,Pixtral,2,places,0.3987951510772471
GPT-2,Pixtral,3,all,0.3168411230190404
GPT-2,Pixtral,3,faces,0.3160231239184269
GPT-2,Pixtral,3,bodies,0.3303032278298474
GPT-2,Pixtral,3,places,0.3128734236061655
GPT-2,Pixtral,4,all,0.3115151040739827
GPT-2,Pixtral,4,faces,0.2628014095102169
GPT-2,Pixtral,4,bodies,0.318031279045564
GPT-2,Pixtral,4,places,0.321772226351132
GPT-2,Pixtral,5,all,0.3925159286056884
GPT-2,Pixtral,5,faces,0.3572423607686996
GPT-2,Pixtral,5,bodies,0.3795890633524594
GPT-2,Pixtral,5,places,0.4457659628987734
GPT-2,Pixtral,6,all,0.3032100489590915
GPT-2,Pixtral,6,faces,0.3096769778444425
GPT-2,Pixtral,6,bodies,0.3218635049481971
GPT-2,Pixtral,6,places,0.282923610642489
GPT-2,Pixtral,7,all,0.3225380993091018
GPT-2,Pixtral,7,faces,0.2658046215552712
GPT-2,Pixtral,7,bodies,0.3430228594318146
GPT-2,Pixtral,7,places,0.3180195776829874
GPT-2,Pixtral,8,all,0.238997198524445
GPT-2,Pixtral,8,faces,0.2420868584625727
GPT-2,Pixtral,8,bodies,0.239408923660474
GPT-2,Pixtral,8,places,0.2459698712299903
GPT-2,Qwen2.5-VL,1,all,0.3833488683309055
GPT-2,Qwen2.5-VL,1,faces,0.3207763884424114
GPT-2,Qwen2.5-VL,1,bodies,0.423147276529548
GPT-2,Qwen2.5-VL,1,places,0.3607191406828203
GPT-2,Qwen2.5-VL,2,all,0.377131018427371
GPT-2,Qwen2.5-VL,2,faces,0.2843648368583897
GPT-2,Qwen2.5-VL,2,bodies,0.3895375651078535
GPT-2,Qwen2.5-VL,2,places,0.4021452094437391
GPT-2,Qwen2.5-VL,3,all,0.3166827389141249
GPT-2,Qwen2.5-VL,3,faces,0.3205075865897004
GPT-2,Qwen2.5-VL,3,bodies,0.3320177615209955
GPT-2,Qwen2.5-VL,3,places,0.3082657032465828
GPT-2,Qwen2.5-VL,4,all,0.3138147194507141
GPT-2,Qwen2.5-VL,4,faces,0.2628575470410332
GPT-2,Qwen2.5-VL,4,bodies,0.3241163325791196
GPT-2,Qwen2.5-VL,4,places,0.3181361593528616
GPT-2,Qwen2.5-VL,5,all,0.3888445541010305
GPT-2,Qwen2.5-VL,5,faces,0.3503448361467831
GPT-2,Qwen2.5-VL,5,bodies,0.3754961080492374
GPT-2,Qwen2.5-VL,5,places,0.4422820179281108
GPT-2,Qwen2.5-VL,6,all,0.300442790010869
GPT-2,Qwen2.5-VL,6,faces,0.3065777780495359
GPT-2,Qwen2.5-VL,6,bodies,0.3237111413109754
GPT-2,Qwen2.5-VL,6,places,0.2730819205486264
GPT-2,Qwen2.5-VL,7,all,0.3266285055967965
GPT-2,Qwen2.5-VL,7,faces,0.2706552714123811
GPT-2,Qwen2.5-VL,7,bodies,0.3503872256952958
GPT-2,Qwen2.5-VL,7,places,0.3174471016409203
GPT-2,Qwen2.5-VL,8,all,0.2334588383537627
GPT-2,Qwen2.5-VL,8,faces,0.2374832482980637
GPT-2,Qwen2.5-VL,8,bodies,0.2387165702844028
GPT-2,Qwen2.5-VL,8,places,0.2342696887763453
GPT-2,Molmo,1,all,0.389533552514912
GPT-2,Molmo,1,faces,0.3147940180706416
GPT-2,Molmo,1,bodies,0.4205457645539314
GPT-2,Molmo,1,places,0.3798059469291918
GPT-2,Molmo,2,all,0.3799748302357846
GPT-2,Molmo,2,faces,0.2895510220493905
GPT-2,Molmo,2,bodies,0.3862799133089353
GPT-2,Molmo,2,places,0.4114865800002416
GPT-2,Molmo,3,all,0.3176360665721809
GPT-2,Molmo,3,faces,0.312494543779464
GPT-2,Molmo,3,bodies,0.3254449083515258
GPT-2,Molmo,3,places,0.3223491787665678
GPT-2,Molmo,4,all,0.3111907247676925
GPT-2,Molmo,4,faces,0.2594849482856929
GPT-2,Molmo,4,bodies,0.3177769774793352
GPT-2,Molmo,4,places,0.3213637559002281
GPT-2,Molmo,5,all,0.3932957559789448
GPT-2,Molmo,5,faces,0.3531364055001942
GPT-2,Molmo,5,bodies,0.3769232119567329
GPT-2,Molmo,5,places,0.4543663838625442
GPT-2,Molmo,6,all,0.304163611911721
GPT-2,Molmo,6,faces,0.3092781417926474
GPT-2,Molmo,6,bodies,0.3226755538871335
GPT-2,Molmo,6,places,0.2840954482960328
GPT-2,Molmo,7,all,0.326284229757369
GPT-2,Molmo,7,faces,0.2726580432964222
GPT-2,Molmo,7,bodies,0.3464538463609948
GPT-2,Molmo,7,places,0.3205997676458925
GPT-2,Molmo,8,all,0.2343466045654923
GPT-2,Molmo,8,faces,0.2267436559381226
GPT-2,Molmo,8,bodies,0.2345424040804061
GPT-2,Molmo,8,places,0.2453931448589303
Llama3,MS COCO,1,all,0.3554299568639959
Llama3,MS COCO,1,faces,0.3007056175693466
Llama3,MS COCO,1,bodies,0.3974578754966407
Llama3,MS COCO,1,places,0.3270413773536049
Llama3,MS COCO,2,all,0.3528257740162314
Llama3,MS COCO,2,faces,0.281560480879552
Llama3,MS COCO,2,bodies,0.3640944606874077
Llama3,MS COCO,2,places,0.3702207298195281
Llama3,MS COCO,3,all,0.2894510857076064
Llama3,MS COCO,3,faces,0.2914680392952752
Llama3,MS COCO,3,bodies,0.3022618247027125
Llama3,MS COCO,3,places,0.2844373509806821
Llama3,MS COCO,4,all,0.29167635424962
Llama3,MS COCO,4,faces,0.241690475284026
Llama3,MS COCO,4,bodies,0.3022397308982675
Llama3,MS COCO,4,places,0.2966377633158706
Llama3,MS COCO,5,all,0.3677195071521503
Llama3,MS COCO,5,faces,0.3267871979833633
Llama3,MS COCO,5,bodies,0.353142247773772
Llama3,MS COCO,5,places,0.4256247748934785
Llama3,MS COCO,6,all,0.2805151889492269
Llama3,MS COCO,6,faces,0.2909720186391115
Llama3,MS COCO,6,bodies,0.3040373625018657
Llama3,MS COCO,6,places,0.2517123863450103
Llama3,MS COCO,7,all,0.2957695044205869
Llama3,MS COCO,7,faces,0.2524099244940754
Llama3,MS COCO,7,bodies,0.3216558444150975
Llama3,MS COCO,7,places,0.2781130109024483
Llama3,MS COCO,8,all,0.2168860266933261
Llama3,MS COCO,8,faces,0.2122563133978237
Llama3,MS COCO,8,bodies,0.2177862302389128
Llama3,MS COCO,8,places,0.2262564474867461
Llama3,LLaVA-OV,1,all,0.3994618555368429
Llama3,LLaVA-OV,1,faces,0.3298494845225585
Llama3,LLaVA-OV,1,bodies,0.4395706823433273
Llama3,LLaVA-OV,1,places,0.3780897854971113
Llama3,LLaVA-OV,2,all,0.3835606435620347
Llama3,LLaVA-OV,2,faces,0.3003445676743282
Llama3,LLaVA-OV,2,bodies,0.3945414654051891
Llama3,LLaVA-OV,2,places,0.4072105431581563
Llama3,LLaVA-OV,3,all,0.320327664826828
Llama3,LLaVA-OV,3,faces,0.3243152589090257
Llama3,LLaVA-OV,3,bodies,0.335883725487134
Llama3,LLaVA-OV,3,places,0.3119592929336658
Llama3,LLaVA-OV,4,all,0.321404866843742
Llama3,LLaVA-OV,4,faces,0.273046671583074
Llama3,LLaVA-OV,4,bodies,0.3313371847264356
Llama3,LLaVA-OV,4,places,0.3262874695877472
Llama3,LLaVA-OV,5,all,0.4015052151581647
Llama3,LLaVA-OV,5,faces,0.3660884799073799
Llama3,LLaVA-OV,5,bodies,0.3875962229572439
Llama3,LLaVA-OV,5,places,0.456887438209624
Llama3,LLaVA-OV,6,all,0.3110061736670672
Llama3,LLaVA-OV,6,faces,0.3292539719848735
Llama3,LLaVA-OV,6,bodies,0.3362518440969394
Llama3,LLaVA-OV,6,places,0.2782121547593599
Llama3,LLaVA-OV,7,all,0.3269480911001729
Llama3,LLaVA-OV,7,faces,0.2760535515497496
Llama3,LLaVA-OV,7,bodies,0.3548956098301717
Llama3,LLaVA-OV,7,places,0.3108095849892099
Llama3,LLaVA-OV,8,all,0.2372710676876051
Llama3,LLaVA-OV,8,faces,0.2367540456588273
Llama3,LLaVA-OV,8,bodies,0.240992404013815
Llama3,LLaVA-OV,8,places,0.2422581209284743
Llama3,Phi-4,1,all,0.3875007549941888
Llama3,Phi-4,1,faces,0.3212184578377679
Llama3,Phi-4,1,bodies,0.4306578162465724
Llama3,Phi-4,1,places,0.3621616215060891
Llama3,Phi-4,2,all,0.3760698597288627
Llama3,Phi-4,2,faces,0.2906610005112866
Llama3,Phi-4,2,bodies,0.3890207264842021
Llama3,Phi-4,2,places,0.3982373240852528
Llama3,Phi-4,3,all,0.320211985086605
Llama3,Phi-4,3,faces,0.3245888288796659
Llama3,Phi-4,3,bodies,0.336200785321783
Llama3,Phi-4,3,places,0.3106389032743656
Llama3,Phi-4,4,all,0.3123487763445467
Llama3,Phi-4,4,faces,0.2621344187258612
Llama3,Phi-4,4,bodies,0.3279988753798062
Llama3,Phi-4,4,places,0.3097124568751601
Llama3,Phi-4,5,all,0.3925302591495342
Llama3,Phi-4,5,faces,0.3551202252916191
Llama3,Phi-4,5,bodies,0.3812212712463181
Llama3,Phi-4,5,places,0.4436823611573688
Llama3,Phi-4,6,all,0.2975586548128441
Llama3,Phi-4,6,faces,0.3155253567028239
Llama3,Phi-4,6,bodies,0.3200640927925949
Llama3,Phi-4,6,places,0.2686848027347339
Llama3,Phi-4,7,all,0.3240663063559634
Llama3,Phi-4,7,faces,0.2742584329994875
Llama3,Phi-4,7,bodies,0.3540051025314873
Llama3,Phi-4,7,places,0.3046944612528885
Llama3,Phi-4,8,all,0.2378089873986228
Llama3,Phi-4,8,faces,0.2317953626987767
Llama3,Phi-4,8,bodies,0.2427117429641846
Llama3,Phi-4,8,places,0.2437031160208153
Llama3,Pixtral,1,all,0.4000805018174668
Llama3,Pixtral,1,faces,0.3259900290268391
Llama3,Pixtral,1,bodies,0.4333179764745163
Llama3,Pixtral,1,places,0.3888939654979166
Llama3,Pixtral,2,all,0.383280037852339
Llama3,Pixtral,2,faces,0.2944106470140387
Llama3,Pixtral,2,bodies,0.3978323080484579
Llama3,Pixtral,2,places,0.404124499939664
Llama3,Pixtral,3,all,0.3235676487043178
