enc_name,caption_type,participant,roi,rs
Qwen3 Embedding,Qwen2.5-VL,4,all,0.1735658590370513
Qwen3 Embedding,Qwen2.5-VL,5,all,0.2542996289946804
Qwen3 Embedding,Qwen2.5-VL,6,all,0.1309343183865666
Qwen3 Embedding,Qwen2.5-VL,7,all,0.1492459892394496
Qwen3 Embedding,Qwen2.5-VL,8,all,0.0739309954151082
Qwen3 Embedding,Qwen2.5-VL,1,places,0.1253996990161125
Qwen3 Embedding,Qwen2.5-VL,2,places,0.152713397290452
Qwen3 Embedding,Qwen2.5-VL,3,places,0.0777101313923016
Qwen3 Embedding,Qwen2.5-VL,4,places,0.0948302471796592
Qwen3 Embedding,Qwen2.5-VL,5,places,0.1471928623650652
Qwen3 Embedding,Qwen2.5-VL,6,places,0.0798374405899843
Qwen3 Embedding,Qwen2.5-VL,7,places,0.0500405081016783
Qwen3 Embedding,Qwen2.5-VL,8,places,0.0460275536572182
Qwen3 Embedding,Qwen2.5-VL,1,faces,0.2302088578238509
Qwen3 Embedding,Qwen2.5-VL,2,faces,0.1241669282218899
Qwen3 Embedding,Qwen2.5-VL,3,faces,0.1348609992430915
Qwen3 Embedding,Qwen2.5-VL,4,faces,0.0989446180055508
Qwen3 Embedding,Qwen2.5-VL,5,faces,0.2674004750569078
Qwen3 Embedding,Qwen2.5-VL,6,faces,0.1400317790227581
Qwen3 Embedding,Qwen2.5-VL,7,faces,0.1349893132867977
Qwen3 Embedding,Qwen2.5-VL,8,faces,0.0860040673075031
Qwen3 Embedding,Qwen2.5-VL,1,bodies,0.3346257508203216
Qwen3 Embedding,Qwen2.5-VL,2,bodies,0.3147331661470366
Qwen3 Embedding,Qwen2.5-VL,3,bodies,0.2098799407802584
Qwen3 Embedding,Qwen2.5-VL,4,bodies,0.2082420669934673
Qwen3 Embedding,Qwen2.5-VL,5,bodies,0.2842517357211045
Qwen3 Embedding,Qwen2.5-VL,6,bodies,0.1715893145697718
Qwen3 Embedding,Qwen2.5-VL,7,bodies,0.1853941895014001
Qwen3 Embedding,Qwen2.5-VL,8,bodies,0.1182979845178344
Qwen3 Embedding,Molmo,1,all,0.2680487521239839
Qwen3 Embedding,Molmo,2,all,0.2260610045781537
Qwen3 Embedding,Molmo,3,all,0.1847428766352958
Qwen3 Embedding,Molmo,4,all,0.2118058081231121
Qwen3 Embedding,Molmo,5,all,0.284056185275796
Qwen3 Embedding,Molmo,6,all,0.1591590599975186
Qwen3 Embedding,Molmo,7,all,0.1817934835239298
Qwen3 Embedding,Molmo,8,all,0.0923612563949698
Qwen3 Embedding,Molmo,1,places,0.131022493477497
Qwen3 Embedding,Molmo,2,places,0.1406830183850603
Qwen3 Embedding,Molmo,3,places,0.1225923105687053
Qwen3 Embedding,Molmo,4,places,0.1074269320760099
Qwen3 Embedding,Molmo,5,places,0.1683227346858227
Qwen3 Embedding,Molmo,6,places,0.1137289789263635
Qwen3 Embedding,Molmo,7,places,0.1128760914544571
Qwen3 Embedding,Molmo,8,places,0.0772646650400525
Qwen3 Embedding,Molmo,1,faces,0.243537855007724
Qwen3 Embedding,Molmo,2,faces,0.1296023479147062
Qwen3 Embedding,Molmo,3,faces,0.1650433768579002
Qwen3 Embedding,Molmo,4,faces,0.1377302269651751
Qwen3 Embedding,Molmo,5,faces,0.270149952590404
Qwen3 Embedding,Molmo,6,faces,0.168364878951318
Qwen3 Embedding,Molmo,7,faces,0.1542423600801059
Qwen3 Embedding,Molmo,8,faces,0.101302253775559
Qwen3 Embedding,Molmo,1,bodies,0.3289018655465353
Qwen3 Embedding,Molmo,2,bodies,0.2776385416280545
Qwen3 Embedding,Molmo,3,bodies,0.2355266176456565
Qwen3 Embedding,Molmo,4,bodies,0.2516386846975705
Qwen3 Embedding,Molmo,5,bodies,0.3123447471016967
Qwen3 Embedding,Molmo,6,bodies,0.2107766032383255
Qwen3 Embedding,Molmo,7,bodies,0.2051855747887695
Qwen3 Embedding,Molmo,8,bodies,0.1321095259061268
Kalm Embedding,MS COCO,1,all,0.1769766220615637
Kalm Embedding,MS COCO,2,all,0.1586888842390666
Kalm Embedding,MS COCO,3,all,0.0979606912116644
Kalm Embedding,MS COCO,4,all,0.121015210047099
Kalm Embedding,MS COCO,5,all,0.2132974466521947
Kalm Embedding,MS COCO,6,all,0.1148700447931113
Kalm Embedding,MS COCO,7,all,0.088078743275962
Kalm Embedding,MS COCO,8,all,0.027074900681902
Kalm Embedding,MS COCO,1,places,0.1379355514816937
Kalm Embedding,MS COCO,2,places,0.1242575880144415
Kalm Embedding,MS COCO,3,places,0.1058244024368086
Kalm Embedding,MS COCO,4,places,0.1171517346054268
Kalm Embedding,MS COCO,5,places,0.1516116615346448
Kalm Embedding,MS COCO,6,places,0.1354845901607505
Kalm Embedding,MS COCO,7,places,0.1054582686941816
Kalm Embedding,MS COCO,8,places,0.0526249271334787
Kalm Embedding,MS COCO,1,faces,0.0543232916752446
Kalm Embedding,MS COCO,2,faces,0.0512336786323429
Kalm Embedding,MS COCO,3,faces,0.047698665269316
Kalm Embedding,MS COCO,4,faces,0.0398298034540487
Kalm Embedding,MS COCO,5,faces,0.1169721835221938
Kalm Embedding,MS COCO,6,faces,0.0574403995327019
Kalm Embedding,MS COCO,7,faces,0.0647158010017221
Kalm Embedding,MS COCO,8,faces,0.0257282032088452
Kalm Embedding,MS COCO,1,bodies,0.1252888541918233
Kalm Embedding,MS COCO,2,bodies,0.074654959942419
Kalm Embedding,MS COCO,3,bodies,0.0656106795807439
Kalm Embedding,MS COCO,4,bodies,0.1094643341168298
Kalm Embedding,MS COCO,5,bodies,0.2001507638936296
Kalm Embedding,MS COCO,6,bodies,0.0759691617438556
Kalm Embedding,MS COCO,7,bodies,0.0678951783160968
Kalm Embedding,MS COCO,8,bodies,0.0122531864147439
Kalm Embedding,LLaVA-OV,1,all,0.2318477676670671
Kalm Embedding,LLaVA-OV,2,all,0.2188414164932805
Kalm Embedding,LLaVA-OV,3,all,0.1103850087591609
Kalm Embedding,LLaVA-OV,4,all,0.142042091878871
Kalm Embedding,LLaVA-OV,5,all,0.2557781027671961
Kalm Embedding,LLaVA-OV,6,all,0.1305313823731488
Kalm Embedding,LLaVA-OV,7,all,0.1383036165359518
Kalm Embedding,LLaVA-OV,8,all,0.0604684502802087
Kalm Embedding,LLaVA-OV,1,places,0.1558749352705927
Kalm Embedding,LLaVA-OV,2,places,0.1782471172549496
Kalm Embedding,LLaVA-OV,3,places,0.1394689215059523
Kalm Embedding,LLaVA-OV,4,places,0.1506484889807379
Kalm Embedding,LLaVA-OV,5,places,0.2018602212216569
Kalm Embedding,LLaVA-OV,6,places,0.1758083581868681
